lid,spectrum,sample,exact,z,hb_class_0.1.0,hb_class_0.2.0,hb_c50_sys_0.1.0,hb_c50_sys_0.2.0,hb_delta_c50,hb_bic_margin_0.2.0,hb_n_broad_0.2.0,hb_fit_status_0.2.0,ha_class_0.1.0,ha_class_0.2.0,ha_c50_sys_0.1.0,ha_c50_sys_0.2.0,ha_delta_c50,ha_bic_margin_0.2.0,conti_feop_fwhm_0.2.0,conti_at_bound_0.2.0,feuv_fwhm_fixed_0.2.0,continuum_status_0.2.0
9000000210,spec-0597-52059-0566.fits,Liu+2014,True,0.413,A,A,307.358,306.559,-0.799,2.474,1,success,--,,,,,,2155.282,,True,success
9000000211,spec-1607-53083-0558.fits,Liu+2014,True,0.582,A,A,835.057,816.914,-18.142,1.051,1,success,--,,,,,,3888.633,"feop_shift,feuv_fwhm",False,success
9000000212,spec-2008-53473-0258.fits,Liu+2014,True,0.463,A,C,-563.937,-584.983,-21.046,9.925,2,success,--,,,,,,1200.000,feop_fwhm,False,success
9000000213,spec-1755-53386-0002.fits,Liu+2014,True,0.245,F,F,-201.895,-201.893,0.002,5.108,2,success,F,F,-153.889,-153.891,-0.002,58.195,9999.861,"feop_norm,feop_shift",False,success
9000000214,spec-2012-53493-0531.fits,Liu+2014,True,0.462,B,B,2154.331,2148.617,-5.715,7.463,2,success,--,,,,,,3560.033,,False,success
9000000214,spec-8873-57427-0194.fits,Liu+2014,False,0.462,B,B,1041.449,1051.933,10.484,18.959,3,success,B,B,884.830,885.311,0.481,13.974,10000.000,feop_fwhm,False,success
9000000215,spec-1608-53138-0160.fits,Liu+2014,True,0.272,C,A,-413.739,-441.405,-27.665,17.605,3,success,C,F,-254.819,-281.121,-26.302,33.611,2668.152,,True,success
9000000215,spec-3245-54894-0248.fits,Liu+2014,False,0.272,A,A,-506.789,-503.783,3.006,1.527,2,success,F,A,-299.601,-300.510,-0.908,11.165,2892.523,feuv_shift,True,success
9000000216,spec-0839-52373-0494.fits,Liu+2014,True,0.313,C,C,-1712.915,-1716.190,-3.275,9.724,2,success,C,C,-1154.845,-1154.061,0.784,9.659,9999.407,"feop_norm,feop_shift",True,success
9000000217,spec-2513-54141-0355.fits,Liu+2014,True,0.555,A,A,-414.787,-445.980,-31.193,12.463,1,success,--,,,,,,2562.673,,False,success
9000000218,spec-0515-52051-0099.fits,Liu+2014,True,0.470,C,C,-2987.888,-3002.899,-15.012,66.340,3,success,--,,,,,,1668.958,"feop_shift,feuv_fwhm,feuv_shift",False,success
9000000219,spec-1018-52672-0276.fits,Liu+2014,True,0.347,F,F,-124.137,-124.174,-0.037,0.640,1,success,F,F,-60.839,-60.842,-0.003,11.833,1447.927,,True,success
9000000219,spec-8229-57430-0379.fits,Liu+2014,False,0.347,C,C,212.961,165.441,-47.520,0.929,2,success,C,C,-42.049,-48.282,-6.233,36.156,1200.000,feop_fwhm,True,success
9000000223,spec-0882-52370-0628.fits,Liu+2014,True,0.432,A,A,327.762,327.762,0.000,12.991,2,success,--,,,,,,9031.907,"feop_norm,feuv_shift",True,success
9000000223,spec-8219-57429-0356.fits,Liu+2014,False,0.432,C,C,35.748,35.665,-0.084,55.219,3,success,F,F,-33.908,-33.915,-0.007,4.665,9893.016,"feop_norm,feop_shift",False,success
9000000224,spec-0517-52024-0559.fits,Liu+2014,True,0.380,F,F,267.356,268.306,0.951,15.242,2,success,W,W,-8.528,-8.400,0.128,3.896,9366.297,,True,success
9000000225,spec-1018-52672-0580.fits,Liu+2014,True,0.339,C,F,-1.522,-240.337,-238.815,4.777,1,success,F,F,-81.200,-90.809,-9.609,5.255,3385.217,,True,success
9000000225,spec-6688-56412-0781.fits,Liu+2014,False,0.339,C,C,159.450,159.935,0.485,15.815,2,success,F,F,-79.275,-79.408,-0.134,0.322,3593.712,,True,success
9000000225,spec-8214-57867-0502.fits,Liu+2014,False,0.339,C,C,336.258,315.591,-20.667,8.612,2,success,C,C,-27.783,-28.495,-0.712,27.279,2412.788,,True,success
9000000226,spec-1314-52792-0511.fits,Liu+2014,False,0.300,F,F,-139.585,-138.304,1.280,14.094,1,success,A,A,-329.112,-331.565,-2.453,3.973,1200.000,feop_fwhm,True,success
9000000226,spec-1314-53050-0512.fits,Liu+2014,True,0.300,F,F,-231.907,-230.236,1.670,3.588,2,success,F,F,-209.319,-210.913,-1.594,1.893,1645.994,,True,success
9000000226,spec-8233-57887-0728.fits,Liu+2014,False,0.300,F,F,-121.398,-123.983,-2.586,12.283,3,success,W,W,-129.500,-130.663,-1.163,37.719,1200.000,feop_fwhm,True,success
9000000227,spec-2657-54502-0418.fits,Liu+2014,True,0.538,A,A,422.555,397.006,-25.549,1.367,1,success,--,,,,,,1200.000,feop_fwhm,False,success
9000000228,spec-1450-53120-0141.fits,Liu+2014,True,0.196,W,W,342.031,342.032,0.001,13.064,2,success,C,C,1956.934,1956.923,-0.011,12.986,6156.465,feop_norm,False,success
9000000228,spec-8383-57518-0733.fits,Liu+2014,False,0.196,C,C,4630.676,4635.074,4.398,11.645,3,success,A,A,2788.054,2787.533,-0.521,67.995,8920.125,feop_norm,True,success
9000000229,spec-2001-53493-0472.fits,Liu+2014,True,0.335,A,A,-428.715,-354.864,73.851,9.636,1,success,A,A,-354.775,-407.096,-52.320,3.866,1816.979,,True,success
9000000229,spec-8834-57458-0500.fits,Liu+2014,False,0.335,F,F,-227.654,-224.765,2.889,12.199,1,success,W,W,-128.993,-130.440,-1.447,11.845,1613.630,,True,success
9000000230,spec-2610-54476-0043.fits,Liu+2014,True,0.198,W,W,-269.183,-270.981,-1.798,8.834,2,success,W,W,-218.921,-228.373,-9.452,41.976,1344.584,,False,success
9000000231,spec-0780-52370-0290.fits,Liu+2014,True,0.371,F,F,107.334,107.467,0.134,0.853,1,success,F,F,84.531,86.681,2.150,0.908,1200.000,feop_fwhm,True,success
9000000232,spec-1626-53472-0292.fits,Liu+2014,True,0.287,C,C,1168.129,1168.101,-0.028,1.460,2,success,C,C,388.939,388.938,-0.001,14.653,1274.821,"feop_norm,feuv_shift",True,success
9000000234,spec-1231-52725-0479.fits,Liu+2014,True,0.168,F,C,265.673,258.759,-6.914,12.552,2,success,W,W,147.938,147.944,0.006,34.272,1363.576,,False,success
9000000235,spec-0884-52374-0133.fits,Liu+2014,True,0.321,A,A,1152.973,1148.945,-4.028,5.580,1,success,A,A,983.430,983.384,-0.046,2.696,3043.752,,True,success
9000000235,spec-8220-57432-0180.fits,Liu+2014,False,0.321,A,A,1045.102,1038.652,-6.450,4.257,1,success,A,A,735.975,735.310,-0.665,7.935,2713.580,,True,success
9000000236,spec-1627-53473-0126.fits,Liu+2014,True,0.509,A,A,929.487,918.610,-10.877,6.882,1,success,--,,,,,,3156.981,,False,success
9000000237,spec-1616-53169-0351.fits,Liu+2014,True,0.292,C,C,-742.906,-742.302,0.604,18.114,2,success,C,C,-383.820,-387.491,-3.671,9.823,1957.041,feuv_shift,True,success
9000000238,spec-0290-51941-0329.fits,Liu+2014,True,0.477,C,A,-457.602,-461.078,-3.476,12.822,2,success,--,,,,,,9936.756,"feop_norm,feop_shift,feuv_fwhm,feuv_shift",False,success
9000000239,spec-0520-52288-0606.fits,Liu+2014,True,0.793,F,F,-177.205,-177.900,-0.695,6.135,1,success,--,,,,,,9996.847,"feop_norm,feuv_fwhm,feuv_shift",False,success
9000000240,spec-2599-54234-0478.fits,Liu+2014,True,0.254,A,A,388.917,381.715,-7.202,14.598,2,success,A,A,335.284,332.271,-3.014,10.980,1247.119,,True,success
9000000241,spec-0846-52407-0395.fits,Liu+2014,True,0.541,A,A,-402.061,-404.352,-2.290,4.069,2,success,--,,,,,,1672.439,,False,success
9000000242,spec-1628-53474-0632.fits,Liu+2014,True,0.330,C,C,301.370,300.221,-1.149,23.205,3,success,A,A,343.292,342.095,-1.197,9.629,1200.000,"feop_fwhm,feuv_shift",True,success
9000000243,spec-1987-53765-0351.fits,Liu+2014,False,0.664,A,B,-348.239,-355.542,-7.304,13.638,2,success,--,,,,,,1214.942,feuv_fwhm,False,success
9000000243,spec-2020-53431-0021.fits,Liu+2014,True,0.664,C,B,-272.378,-268.911,3.468,1.527,2,success,--,,,,,,1509.414,"feuv_fwhm,feuv_shift",False,success
9000000243,spec-10248-58220-0245.fits,Liu+2014,False,0.664,C,C,-77.062,-74.373,2.689,13.189,3,success,--,,,,,,1313.902,,False,success
9000000244,spec-2707-54144-0457.fits,Liu+2014,True,0.394,C,C,443.631,443.629,-0.001,91.612,3,success,--,,,,,,1244.000,"feop_norm,feuv_shift",True,success
9000000245,spec-0336-51999-0441.fits,Liu+2014,True,0.492,C,C,447.356,393.446,-53.910,10.185,3,success,--,,,,,,1200.000,"feop_fwhm,feuv_fwhm,feuv_shift",False,success
9000000246,spec-1455-53089-0119.fits,Liu+2014,True,0.434,A,A,455.264,426.623,-28.641,6.466,1,success,--,,,,,,2646.629,,True,success
9000000246,spec-7416-56810-0450.fits,Liu+2014,False,0.434,C,C,249.431,216.296,-33.135,15.684,3,success,C,C,-103.380,-103.802,-0.422,23.555,1200.000,feop_fwhm,False,success
